cnn,st_name,st_type,cnntext,the_geom
34043000,AVENUE B,,34043000,POINT (-122.37315272015093 37.819591521506645)
52096000,SAN JOSE,AVE,52096000,POINT (-122.43800079763275 37.73018018861144)
20885000,SOMERSET,ST,20885000,POINT (-122.40655318987011 37.72419422672537)
54238000,HARDIE,AVE,54238000,POINT (-122.4589016010633 37.79721699642302)
24246000,FOLSOM,ST,24246000,POINT (-122.41161011670442 37.773769346405906)
25642000,NELLIE,ST,25642000,POINT (-122.42816530737898 37.75325690791112)
50214000,FELLA,PL,50214000,POINT (-122.40833590399646 37.79088656509203)
52039000,SAN LUIS,AVE,52039000,POINT (-122.46821918955372 37.70893627983104)
26865000,PACIFIC,AVE,26865000,POINT (-122.44300478811938 37.7922978823482)
22623000,PLYMOUTH,AVE,22623000,POINT (-122.45653703899613 37.72758998183664)
25373000,TELEGRAPH HILL,BLVD,25373000,POINT (-122.40658211199224 37.80363200506487)
30078000,FERN,ST,30078000,POINT (-122.42174988124752 37.788027214917044)
22579000,MIRAMAR,AVE,22579000,POINT (-122.45817751919986 37.720027192518906)
50624000,GOLDING,LN,50624000,POINT (-122.44312597595005 37.751623425561235)
27151000,07TH,AVE,27151000,POINT (-122.46423737538089 37.765066770396245)
27430000,KIRKHAM,ST,27430000,POINT (-122.48757950106304 37.75935942072155)
23627000,DAKOTA,ST,23627000,POINT (-122.3945869778563 37.75242680107236)
